271940:"{'heterochromatin organization (GO:0070828)', 'regulation of cell junction assembly (GO:1901888)', 'branching morphogenesis of an epithelial tube (GO:0048754)', 'positive regulation of endothelial cell chemotaxis (GO:2001028)', 'protein localization to chromosome, centromeric region (GO:0071459)', 'centromeric sister chromatid cohesion (GO:0070601)', 'regulation of monocyte differentiation (GO:0045655)', 'Notch signaling involved in heart development (GO:0061314)', 'negative regulation of stress-activated protein kinase signaling cascade (GO:0070303)', 'entry of bacterium into host cell (GO:0035635)', 'negative regulation of signal transduction by p53 class mediator (GO:1901797)', 'regulation of mesenchymal cell proliferation (GO:0010464)', 'mesoderm morphogenesis (GO:0048332)', 'regulation of vitamin D biosynthetic process (GO:0060556)', 'positive regulation of mesenchymal cell proliferation (GO:0002053)', 'negative regulation of hydrogen peroxide-induced cell death (GO:1903206)', 'negative regulation of cell division (GO:0051782)', 'negative regulation of Rho protein signal transduction (GO:0035024)', 'regulation of endothelial cell chemotaxis (GO:2001026)', 'oxygen transport (GO:0015671)', 'negative regulation of DNA damage response, signal transduction by p53 class mediator (GO:0043518)', 'mitotic sister chromatid cohesion (GO:0007064)', 'positive regulation of metanephros development (GO:0072216)', 'attachment of mitotic spindle microtubules to kinetochore (GO:0051315)', 'positive regulation of transferase activity (GO:0051347)', 'Notch signaling pathway (GO:0007219)', 'gas transport (GO:0015669)', 'regulation of bicellular tight junction assembly (GO:2000810)', 'cell surface receptor signaling pathway involved in heart development (GO:0061311)', 'epithelial cell morphogenesis (GO:0003382)'}"
35883:"{'blood circulation (GO:0008015)', 'positive regulation of isotype switching (GO:0045830)', 'positive regulation of phospholipid biosynthetic process (GO:0071073)', 'iron ion transport (GO:0006826)', 'regulation of systemic arterial blood pressure by renin-angiotensin (GO:0003081)', 'positive regulation of immunoglobulin mediated immune response (GO:0002891)', 'bleb assembly (GO:0032060)', 'iron ion homeostasis (GO:0055072)', 'regulation of isotype switching (GO:0045191)', 'regulation of tube diameter (GO:0035296)', 'iron ion import (GO:0097286)', 'arachidonic acid secretion (GO:0050482)', 'regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway (GO:2001267)', 'integrin activation (GO:0033622)', 'blood vessel endothelial cell proliferation involved in sprouting angiogenesis (GO:0002043)', 'icosanoid secretion (GO:0032309)', 'glycosyl compound metabolic process (GO:1901657)', 'positive regulation of DNA recombination (GO:0045911)', 'protein sulfation (GO:0006477)', 'positive regulation of cysteine-type endopeptidase activity (GO:2001056)', 'regulation of phosphatidylinositol biosynthetic process (GO:0010511)', 'muscle cell migration (GO:0014812)', 'negative regulation of protein targeting to membrane (GO:0090315)', 'negative regulation of cell junction assembly (GO:1901889)', 'arachidonate transport (GO:1903963)', 'myeloid leukocyte mediated immunity (GO:0002444)', 'regulation of stress-activated protein kinase signaling cascade (GO:0070302)', 'regulation of blood vessel size (GO:0050880)', 'hematopoietic stem cell differentiation (GO:0060218)', 'nuclear body organization (GO:0030575)'}"
75657:"{'regulation of cilium movement (GO:0003352)', 'positive regulation of execution phase of apoptosis (GO:1900119)', 'urate metabolic process (GO:0046415)', 'positive regulation of protein localization to centrosome (GO:1904781)', 'protein complex assembly (GO:0006461)', 'axon development (GO:0061564)', 'activation of cysteine-type endopeptidase activity involved in apoptotic process by cytochrome c (GO:0008635)', 'positive regulation of protein localization to cell surface (GO:2000010)', 'box C/D snoRNP assembly (GO:0000492)', 'positive regulation of endoplasmic reticulum unfolded protein response (GO:1900103)', 'regulation of execution phase of apoptosis (GO:1900117)', 'positive regulation of protein exit from endoplasmic reticulum (GO:0070863)', 'positive regulation of cellular protein localization (GO:1903829)', 'small nucleolar ribonucleoprotein complex assembly (GO:0000491)', 'barbed-end actin filament capping (GO:0051016)', 'vacuolar proton-transporting V-type ATPase complex assembly (GO:0070072)', 'regulation of pseudopodium assembly (GO:0031272)', 'proton-transporting V-type ATPase complex assembly (GO:0070070)', 'regulation of attachment of spindle microtubules to kinetochore (GO:0051988)', 'regulation of protein localization to centrosome (GO:1904779)', 'positive regulation of pseudopodium assembly (GO:0031274)', 'protein oligomerization (GO:0051259)', 'actin filament capping (GO:0051693)', 'synapse assembly (GO:0007416)', 'cell morphogenesis involved in neuron differentiation (GO:0048667)', 'regulation of protein exit from endoplasmic reticulum (GO:0070861)', 'regulation of interleukin-2 biosynthetic process (GO:0045076)', 'regulation of PERK-mediated unfolded protein response (GO:1903897)', 'positive regulation of interleukin-2 biosynthetic process (GO:0045086)', 'regulation of microtubule-based movement (GO:0060632)'}"
355584:"{'positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002824)', 'T cell activation involved in immune response (GO:0002286)', 'positive regulation of interleukin-2 biosynthetic process (GO:0045086)', 'neutrophil chemotaxis (GO:0030593)', 'negative regulation of acute inflammatory response (GO:0002674)', 'lymphocyte activation involved in immune response (GO:0002285)', 'response to muramyl dipeptide (GO:0032495)', 'positive regulation of antigen processing and presentation (GO:0002579)', 'dendritic cell chemotaxis (GO:0002407)', 'natural killer cell activation involved in immune response (GO:0002323)', 'positive regulation of peptidyl-serine phosphorylation of STAT protein (GO:0033141)', 'interleukin-23-mediated signaling pathway (GO:0038155)', 'positive regulation of T-helper 1 type immune response (GO:0002827)', 'chemokine-mediated signaling pathway (GO:0070098)', 'regulation of T-helper 1 type immune response (GO:0002825)', 'positive regulation of osteoclast differentiation (GO:0045672)', 'eosinophil chemotaxis (GO:0048245)', 'positive regulation of dendritic cell antigen processing and presentation (GO:0002606)', 'positive regulation of T-helper 17 type immune response (GO:2000318)', 'regulation of T-helper 17 cell lineage commitment (GO:2000328)', 'eosinophil migration (GO:0072677)', 'positive regulation of interleukin-17 production (GO:0032740)', 'regulation of type I interferon-mediated signaling pathway (GO:0060338)', 'response to dsRNA (GO:0043331)', 'autophagy of nucleus (GO:0044804)', 'regulation of dendritic cell antigen processing and presentation (GO:0002604)', 'positive regulation of tissue remodeling (GO:0034105)', 'neutrophil migration (GO:1990266)', 'regulation of peptidyl-serine phosphorylation of STAT protein (GO:0033139)', 'regulation of natural killer cell proliferation (GO:0032817)'}"
34970:"{'amino acid transmembrane transport (GO:0003333)', 'negative regulation of cell aging (GO:0090344)', 'regulation of cell cycle checkpoint (GO:1901976)', 'regulation of adiponectin secretion (GO:0070163)', 'negative regulation of reactive oxygen species metabolic process (GO:2000378)', 'L-alanine transport (GO:0015808)', 'erythrocyte development (GO:0048821)', 'sodium ion transmembrane transport (GO:0035725)', 'molybdopterin cofactor metabolic process (GO:0043545)', 'cleavage furrow formation (GO:0036089)', 'muscle cell differentiation (GO:0042692)', 'molybdopterin cofactor biosynthetic process (GO:0032324)', 'oxoacid metabolic process (GO:0043436)', 'alpha-beta T cell activation (GO:0046631)', 'sodium ion transport (GO:0006814)', 'regulation of T-helper 17 type immune response (GO:2000316)', 'mitochondrial ribosome assembly (GO:0061668)', 'cellular ion homeostasis (GO:0006873)', 'negative regulation of glycolytic process (GO:0045820)', 'regulation of Wnt signaling pathway, planar cell polarity pathway (GO:2000095)', 'sulfur compound transport (GO:0072348)', 'positive regulation of T-helper 17 type immune response (GO:2000318)', 'negative regulation of cell cycle phase transition (GO:1901988)', 'positive regulation of RNA binding (GO:1905216)', 'carboxylic acid transmembrane transport (GO:1905039)', 'ion homeostasis (GO:0050801)', 'positive regulation of mitochondrial membrane potential (GO:0010918)', 'macropinocytosis (GO:0044351)', 'negative regulation of coenzyme metabolic process (GO:0051198)', 'positive regulation of protein kinase A signaling (GO:0010739)'}"
271727:"{'regulation of nervous system development (GO:0051960)', 'negative regulation of protein complex assembly (GO:0031333)', 'response to nutrient levels (GO:0031667)', 'plasma membrane bounded cell projection organization (GO:0120036)', 'peptidyl-serine phosphorylation (GO:0018105)', 'neuron differentiation (GO:0030182)', 'sensory perception of sound (GO:0007605)', 'autophagosome organization (GO:1905037)', 'regulation of cellular catabolic process (GO:0031329)', 'regulation of macroautophagy (GO:0016241)', 'neuron projection extension (GO:1990138)', 'sensory perception (GO:0007600)', 'cellular response to nutrient levels (GO:0031669)', 'hair cell differentiation (GO:0035315)', 'sensory perception of mechanical stimulus (GO:0050954)', 'autophagosome assembly (GO:0000045)', 'neuron development (GO:0048666)', 'negative regulation of cellular component organization (GO:0051129)', 'negative regulation of cell differentiation (GO:0045596)', 'neuron projection development (GO:0031175)', 'regulation of myelination (GO:0031641)', 'peptidyl-threonine modification (GO:0018210)', 'peptidyl-threonine phosphorylation (GO:0018107)', 'inner ear receptor cell differentiation (GO:0060113)', 'sensory perception of light stimulus (GO:0050953)', 'regulation of protein complex assembly (GO:0043254)', 'macroautophagy (GO:0016236)', 'peptidyl-serine modification (GO:0018209)', 'epidermal cell differentiation (GO:0009913)', 'axon extension (GO:0048675)'}"
34439:"{'positive regulation of sodium ion transmembrane transport (GO:1902307)', 'embryonic organ morphogenesis (GO:0048562)', 'regulation of transforming growth factor beta2 production (GO:0032909)', 'endoplasmic reticulum to cytosol transport (GO:1903513)', 'gastrulation with mouth forming second (GO:0001702)', 'negative regulation of endoplasmic reticulum calcium ion concentration (GO:0032471)', 'alpha-beta T cell activation (GO:0046631)', 'protein exit from endoplasmic reticulum (GO:0032527)', 'positive regulation of activation of Janus kinase activity (GO:0010536)', 'polyphosphate metabolic process (GO:0006797)', 'positive regulation of NK T cell activation (GO:0051135)', 'insulin secretion involved in cellular response to glucose stimulus (GO:0035773)', 'plus-end-directed organelle transport along microtubule (GO:0072386)', 'aggrephagy (GO:0035973)', 'positive regulation of insulin-like growth factor receptor signaling pathway (GO:0043568)', 'intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress (GO:0070059)', 'positive regulation of T-helper 17 type immune response (GO:2000318)', 'retrograde protein transport, ER to cytosol (GO:0030970)', 'regulation of cellular response to growth factor stimulus (GO:0090287)', 'regulation of T-helper 17 cell lineage commitment (GO:2000328)', 'tRNA metabolic process (GO:0006399)', 'negative regulation of transforming growth factor beta production (GO:0071635)', 'positive regulation of memory T cell differentiation (GO:0043382)', 'chondrocyte development (GO:0002063)', 'positive regulation of mitochondrial membrane potential (GO:0010918)', 'regulation of natural killer cell proliferation (GO:0032817)', 'regulation of JAK-STAT cascade (GO:0046425)', 'maintenance of protein location in extracellular region (GO:0071694)', 'regulation of NK T cell activation (GO:0051133)', 'negative regulation of smooth muscle cell differentiation (GO:0051151)'}"
34883:"{'protein localization to Golgi apparatus (GO:0034067)', 'negative regulation of lyase activity (GO:0051350)', 'chondroitin sulfate proteoglycan biosynthetic process (GO:0050650)', 'ion transmembrane transport (GO:0034220)', 'synaptic transmission, cholinergic (GO:0007271)', 'cation transport (GO:0006812)', 'neuromuscular process (GO:0050905)', 'neuromuscular synaptic transmission (GO:0007274)', 'response to alkaloid (GO:0043279)', 'Notch receptor processing (GO:0007220)', 'anterograde trans-synaptic signaling (GO:0098916)', 'ganglioside metabolic process (GO:0001573)', 'positive regulation of glucose transport (GO:0010828)', 'ion transport (GO:0006811)', 'maintenance of gastrointestinal epithelium (GO:0030277)', 'protein targeting to vacuole (GO:0006623)', 'response to nicotine (GO:0035094)', 'cation transmembrane transport (GO:0098655)', 'negative regulation of hydrogen peroxide-induced cell death (GO:1903206)', 'neurotransmitter transport (GO:0006836)', 'glycosphingolipid biosynthetic process (GO:0006688)', 'chemical synaptic transmission (GO:0007268)', 'chondroitin sulfate biosynthetic process (GO:0030206)', 'negative regulation of cyclase activity (GO:0031280)', 'negative regulation of cAMP biosynthetic process (GO:0030818)', 'epithelial structure maintenance (GO:0010669)', 'negative regulation of adenylate cyclase activity (GO:0007194)', 'response to organic cyclic compound (GO:0014070)', 'neurotransmitter biosynthetic process (GO:0042136)', 'establishment of protein localization to vacuole (GO:0072666)'}"
34786:"{'negative regulation of cell cycle process (GO:0010948)', 'regulation of receptor recycling (GO:0001919)', 'regulation of cell cycle checkpoint (GO:1901976)', 'negative regulation of erythrocyte differentiation (GO:0045647)', 'cellular macromolecular complex assembly (GO:0034622)', 'regulation of cellular carbohydrate catabolic process (GO:0043471)', 'negative regulation of G0 to G1 transition (GO:0070317)', 'spermine metabolic process (GO:0008215)', 'cargo loading into vesicle (GO:0035459)', 'positive regulation of phosphate metabolic process (GO:0045937)', 'iron ion import (GO:0097286)', 'regulation of G0 to G1 transition (GO:0070316)', 'positive regulation of receptor recycling (GO:0001921)', 'epithelial cilium movement involved in determination of left/right asymmetry (GO:0060287)', 'porphyrin-containing compound biosynthetic process (GO:0006779)', 'alpha-beta T cell activation (GO:0046631)', 'regulation of biosynthetic process (GO:0009889)', 'oxygen homeostasis (GO:0032364)', 'acetyl-CoA biosynthetic process (GO:0006085)', 'succinyl-CoA metabolic process (GO:0006104)', 'beta-catenin-TCF complex assembly (GO:1904837)', 'polyamine biosynthetic process (GO:0006596)', 'phosphatidic acid biosynthetic process (GO:0006654)', 'phosphatidic acid metabolic process (GO:0046473)', 'substrate adhesion-dependent cell spreading (GO:0034446)', 'regulation of inositol phosphate biosynthetic process (GO:0010919)', 'epithelial cilium movement (GO:0003351)', 'positive regulation of mitochondrial membrane potential (GO:0010918)', 'response to DNA damage checkpoint signaling (GO:0072423)', 'positive regulation of signaling (GO:0023056)'}"
271884:"{'iron ion transport (GO:0006826)', 'mitotic G1/S transition checkpoint (GO:0044819)', 'response to X-ray (GO:0010165)', 'regulation of multicellular organism growth (GO:0040014)', 'iron ion homeostasis (GO:0055072)', 'cellular iron ion homeostasis (GO:0006879)', 'protein tetramerization (GO:0051262)', 'cellular response to interleukin-12 (GO:0071349)', 'negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway (GO:1902176)', 'intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator (GO:0042771)', 'negative regulation of oxidative stress-induced cell death (GO:1903202)', 'DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator (GO:0006978)', 'positive regulation of DNA metabolic process (GO:0051054)', 'G1 DNA damage checkpoint (GO:0044783)', 'DNA damage response, signal transduction resulting in transcription (GO:0042772)', 'intrinsic apoptotic signaling pathway by p53 class mediator (GO:0072332)', 'intrinsic apoptotic signaling pathway in response to DNA damage (GO:0008630)', 'regulation of oxidative stress-induced intrinsic apoptotic signaling pathway (GO:1902175)', 'interleukin-12-mediated signaling pathway (GO:0035722)', 'stress-induced premature senescence (GO:0090400)', 'insulin-like growth factor receptor signaling pathway (GO:0048009)', 'methylation-dependent chromatin silencing (GO:0006346)', 'dendritic spine maintenance (GO:0097062)', 'positive regulation of DNA replication (GO:0045740)', 'positive regulation of protein complex disassembly (GO:0043243)', 'mitotic G1 DNA damage checkpoint (GO:0031571)', 'positive regulation of multicellular organism growth (GO:0040018)', 'regulation of helicase activity (GO:0051095)', 'regulation of protein complex disassembly (GO:0043244)', 'regulation of cell cycle phase transition (GO:1901987)'}"
608:"{'RNA destabilization (GO:0050779)', 'definitive hemopoiesis (GO:0060216)', 'imidazole-containing compound catabolic process (GO:0052805)', 'positive regulation of coagulation (GO:0050820)', 'L-phenylalanine metabolic process (GO:0006558)', 'positive regulation of hemostasis (GO:1900048)', 'regulation of synaptic transmission, dopaminergic (GO:0032225)', 'histidine metabolic process (GO:0006547)', 'chromatin-mediated maintenance of transcription (GO:0048096)', 'thiamine-containing compound metabolic process (GO:0042723)', 'regulation of Arp2/3 complex-mediated actin nucleation (GO:0034315)', 'long-term synaptic potentiation (GO:0060291)', 'histidine catabolic process (GO:0006548)', 'aromatic amino acid family catabolic process (GO:0009074)', 'L-ascorbic acid metabolic process (GO:0019852)', 'endothelial cell chemotaxis (GO:0035767)', 'cellular response to iron ion (GO:0071281)', 'negative regulation of fibroblast proliferation (GO:0048147)', 'azole transport (GO:0045117)', 'myeloid dendritic cell differentiation (GO:0043011)', 'regulation of interleukin-13 production (GO:0032656)', 'positive regulation of interleukin-13 production (GO:0032736)', 'regulation of ERAD pathway (GO:1904292)', 'negative regulation of protein ubiquitination involved in ubiquitin-dependent protein catabolic process (GO:2000059)', 'erythrose 4-phosphate/phosphoenolpyruvate family amino acid catabolic process (GO:1902222)', 'response to magnesium ion (GO:0032026)', 'L-phenylalanine catabolic process (GO:0006559)', 'cellular response to magnesium ion (GO:0071286)', 'replicative senescence (GO:0090399)', 'equilibrioception (GO:0050957)'}"
75644:"{'positive regulation of p38MAPK cascade (GO:1900745)', 'regulation of p38MAPK cascade (GO:1900744)', 'regulation of cell size (GO:0008361)', 'regulation of protein serine/threonine kinase activity (GO:0071900)', 'regulation of sequestering of triglyceride (GO:0010889)', 'phosphatidylcholine acyl-chain remodeling (GO:0036151)', 'macrophage derived foam cell differentiation (GO:0010742)', 'negative regulation of cholesterol storage (GO:0010887)', 'long-term memory (GO:0007616)', 'regulation of glucokinase activity (GO:0033131)', 'calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules (GO:0016338)', 'negative regulation of insulin secretion (GO:0046676)', 'cellular response to nutrient levels (GO:0031669)', 'peptidyl-threonine dephosphorylation (GO:0035970)', 'vasculature development (GO:0001944)', 'positive regulation of JUN kinase activity (GO:0043507)', 'phosphatidylethanolamine acyl-chain remodeling (GO:0036152)', 'heterotypic cell-cell adhesion (GO:0034113)', 'negative regulation of lipid storage (GO:0010888)', 'negative regulation of cyclin-dependent protein kinase activity (GO:1904030)', 'regulation of receptor biosynthetic process (GO:0010869)', 'peptidyl-tyrosine dephosphorylation (GO:0035335)', 'regulation of fatty acid metabolic process (GO:0019217)', 'purine-containing compound biosynthetic process (GO:0072522)', 'white fat cell differentiation (GO:0050872)', 'fatty acid transport (GO:0015908)', 'ventricular cardiac muscle tissue development (GO:0003229)', 'endoderm development (GO:0007492)', 'regulation of mitotic spindle checkpoint (GO:1903504)', 'negative regulation of macromolecule biosynthetic process (GO:0010558)'}"
271096:"{'RNA-dependent DNA biosynthetic process (GO:0006278)', 'carbohydrate catabolic process (GO:0016052)', 'peripheral nervous system development (GO:0007422)', 'cellular macromolecular complex assembly (GO:0034622)', 'negative regulation of circadian rhythm (GO:0042754)', 'cargo loading into vesicle (GO:0035459)', 'cellular response to interleukin-12 (GO:0071349)', 'gluconeogenesis (GO:0006094)', 'porphyrin-containing compound biosynthetic process (GO:0006779)', 'proteasomal ubiquitin-independent protein catabolic process (GO:0010499)', 'entrainment of circadian clock by photoperiod (GO:0043153)', 'interleukin-12-mediated signaling pathway (GO:0035722)', 'regulation of receptor binding (GO:1900120)', 'photoperiodism (GO:0009648)', 'erythrocyte differentiation (GO:0030218)', 'positive regulation of receptor binding (GO:1900122)', 'catecholamine biosynthetic process (GO:0042423)', 'glucose metabolic process (GO:0006006)', 'negative regulation of G-protein coupled receptor protein signaling pathway (GO:0045744)', 'sarcomere organization (GO:0045214)', 'receptor internalization (GO:0031623)', 'regulation of endothelial cell chemotaxis (GO:2001026)', 'phosphatidic acid biosynthetic process (GO:0006654)', 'myofibril assembly (GO:0030239)', 'phosphatidic acid metabolic process (GO:0046473)', 'pyruvate metabolic process (GO:0006090)', 'positive regulation of chromosome organization (GO:2001252)', 'hexose biosynthetic process (GO:0019319)', 'glycolytic process (GO:0006096)', 'myeloid cell differentiation (GO:0030099)'}"
34520:"{'endodermal cell differentiation (GO:0035987)', 'purine-containing compound metabolic process (GO:0072521)', 'sterol homeostasis (GO:0055092)', 'positive regulation of activin receptor signaling pathway (GO:0032927)', 'cell morphogenesis involved in differentiation (GO:0000904)', 'bile acid secretion (GO:0032782)', 'receptor clustering (GO:0043113)', 'leukocyte cell-cell adhesion (GO:0007159)', 'negative regulation of receptor biosynthetic process (GO:0010871)', 'regulation of activin receptor signaling pathway (GO:0032925)', 'wound healing, spreading of cells (GO:0044319)', 'regulation of superoxide anion generation (GO:0032928)', 'positive regulation of cholesterol storage (GO:0010886)', 'cholesterol homeostasis (GO:0042632)', 'purine nucleobase biosynthetic process (GO:0009113)', 'endoderm formation (GO:0001706)', 'regulation of hyaluronan biosynthetic process (GO:1900125)', 'pyrimidine-containing compound biosynthetic process (GO:0072528)', 'nucleotide biosynthetic process (GO:0009165)', 'nucleobase metabolic process (GO:0009112)', 'heterotypic cell-cell adhesion (GO:0034113)', 'negative chemotaxis (GO:0050919)', 'lipid modification (GO:0030258)', 'sterol transport (GO:0015918)', 'collagen biosynthetic process (GO:0032964)', 'substrate adhesion-dependent cell spreading (GO:0034446)', 'B cell chemotaxis (GO:0035754)', 'viral entry into host cell (GO:0046718)', 'negative regulation of macromolecule biosynthetic process (GO:0010558)', 'triglyceride-rich lipoprotein particle remodeling (GO:0034370)'}"
218958:"{'positive regulation of glycolytic process (GO:0045821)', 'regulation of vascular endothelial growth factor production (GO:0010574)', 'positive regulation of cardiac muscle cell differentiation (GO:2000727)', 'positive regulation of cell migration involved in sprouting angiogenesis (GO:0090050)', 'positive regulation of chemotaxis (GO:0050921)', 'positive regulation of chemokine production (GO:0032722)', 'lipopolysaccharide-mediated signaling pathway (GO:0031663)', 'cellular modified amino acid biosynthetic process (GO:0042398)', 'macrophage derived foam cell differentiation (GO:0010742)', 'nonribosomal peptide biosynthetic process (GO:0019184)', 'positive regulation of leukocyte chemotaxis (GO:0002690)', 'positive regulation of type 2 immune response (GO:0002830)', 'fatty acid homeostasis (GO:0055089)', 'PERK-mediated unfolded protein response (GO:0036499)', 'regulation of chemokine biosynthetic process (GO:0045073)', 'positive regulation of coenzyme metabolic process (GO:0051197)', 'regulation of chemokine-mediated signaling pathway (GO:0070099)', 'chemokine-mediated signaling pathway (GO:0070098)', 'positive regulation of fever generation (GO:0031622)', 'positive regulation of vascular endothelial growth factor production (GO:0010575)', 'regulation of endothelial cell development (GO:1901550)', 'glutathione biosynthetic process (GO:0006750)', 'positive regulation of acute inflammatory response (GO:0002675)', 'positive regulation of leukocyte migration (GO:0002687)', 'positive regulation of interferon-alpha production (GO:0032727)', 'foam cell differentiation (GO:0090077)', 'regulation of heterotypic cell-cell adhesion (GO:0034114)', 'regulation of leukocyte chemotaxis (GO:0002688)', 'gas transport (GO:0015669)', 'leukocyte aggregation (GO:0070486)'}"
1267:"{'fatty acid oxidation (GO:0019395)', 'positive regulation of protein import into nucleus, translocation (GO:0033160)', 'positive regulation of adaptive immune response (GO:0002821)', 'regulation of transcription involved in G1/S transition of mitotic cell cycle (GO:0000083)', 'peptide hormone secretion (GO:0030072)', 'neurotransmitter loading into synaptic vesicle (GO:0098700)', 'positive regulation of interleukin-2 production (GO:0032743)', 'positive regulation of ATP biosynthetic process (GO:2001171)', 'positive regulation of interleukin-6 secretion (GO:2000778)', 'positive regulation of fever generation (GO:0031622)', 'positive regulation of interferon-alpha secretion (GO:1902741)', 'regulation of response to cytokine stimulus (GO:0060759)', 'polyamine biosynthetic process (GO:0006596)', 'negative regulation of systemic arterial blood pressure (GO:0003085)', 'peroxisomal membrane transport (GO:0015919)', 'peripheral nervous system neuron development (GO:0048935)', 'adenylate cyclase-activating adrenergic receptor signaling pathway (GO:0071880)', 'phosphatidylserine metabolic process (GO:0006658)', 'regulation of interleukin-2 production (GO:0032663)', 'regulation of interleukin-10 secretion (GO:2001179)', 'negative regulation of catecholamine secretion (GO:0033604)', 'adrenergic receptor signaling pathway (GO:0071875)', 'embryonic camera-type eye morphogenesis (GO:0048596)', 'cardiolipin acyl-chain remodeling (GO:0035965)', 'cellular biogenic amine biosynthetic process (GO:0042401)', 'embryonic camera-type eye development (GO:0031076)', 'catecholamine transport (GO:0051937)', 'macropinocytosis (GO:0044351)', 'positive regulation of activated T cell proliferation (GO:0042104)', 'indolalkylamine metabolic process (GO:0006586)'}"
75654:"{'positive regulation of p38MAPK cascade (GO:1900745)', 'regulation of p38MAPK cascade (GO:1900744)', 'regulation of cell size (GO:0008361)', 'regulation of protein serine/threonine kinase activity (GO:0071900)', 'regulation of sequestering of triglyceride (GO:0010889)', 'phosphatidylcholine acyl-chain remodeling (GO:0036151)', 'macrophage derived foam cell differentiation (GO:0010742)', 'negative regulation of cholesterol storage (GO:0010887)', 'long-term memory (GO:0007616)', 'regulation of glucokinase activity (GO:0033131)', 'calcium-independent cell-cell adhesion via plasma membrane cell-adhesion molecules (GO:0016338)', 'negative regulation of insulin secretion (GO:0046676)', 'cellular response to nutrient levels (GO:0031669)', 'peptidyl-threonine dephosphorylation (GO:0035970)', 'vasculature development (GO:0001944)', 'positive regulation of JUN kinase activity (GO:0043507)', 'phosphatidylethanolamine acyl-chain remodeling (GO:0036152)', 'heterotypic cell-cell adhesion (GO:0034113)', 'negative regulation of lipid storage (GO:0010888)', 'negative regulation of cyclin-dependent protein kinase activity (GO:1904030)', 'regulation of receptor biosynthetic process (GO:0010869)', 'peptidyl-tyrosine dephosphorylation (GO:0035335)', 'regulation of fatty acid metabolic process (GO:0019217)', 'purine-containing compound biosynthetic process (GO:0072522)', 'white fat cell differentiation (GO:0050872)', 'fatty acid transport (GO:0015908)', 'ventricular cardiac muscle tissue development (GO:0003229)', 'endoderm development (GO:0007492)', 'regulation of mitotic spindle checkpoint (GO:1903504)', 'negative regulation of macromolecule biosynthetic process (GO:0010558)'}"
34314:"{'positive regulation of receptor biosynthetic process (GO:0010870)', 'bleb assembly (GO:0032060)', 'regulation of delayed rectifier potassium channel activity (GO:1902259)', 'response to organophosphorus (GO:0046683)', 'positive regulation of SMAD protein import into nucleus (GO:0060391)', 'negative regulation of voltage-gated potassium channel activity (GO:1903817)', 'positive regulation of calcium ion transmembrane transporter activity (GO:1901021)', 'toll-like receptor 3 signaling pathway (GO:0034138)', 'modulation by virus of host morphology or physiology (GO:0019048)', 'regulation of mitotic sister chromatid separation (GO:0010965)', 'regulation of T cell mediated cytotoxicity (GO:0001914)', 'regulation of metaphase/anaphase transition of cell cycle (GO:1902099)', 'negative regulation of potassium ion transmembrane transporter activity (GO:1901017)', 'regulation of RNA export from nucleus (GO:0046831)', 'histone phosphorylation (GO:0016572)', 'regulation of potassium ion transmembrane transporter activity (GO:1901016)', 'regulation of receptor biosynthetic process (GO:0010869)', 'positive regulation of myeloid cell differentiation (GO:0045639)', 'regulation of erythrocyte differentiation (GO:0045646)', 'negative regulation of smoothened signaling pathway (GO:0045879)', 'regulation of transforming growth factor beta production (GO:0071634)', 'positive regulation of erythrocyte differentiation (GO:0045648)', 'positive regulation of release of sequestered calcium ion into cytosol (GO:0051281)', 'negative regulation of RNA metabolic process (GO:0051253)', 'granulocyte differentiation (GO:0030851)', 'positive regulation of T cell mediated cytotoxicity (GO:0001916)', 'regulation of mitotic metaphase/anaphase transition (GO:0030071)', 'positive regulation of carbohydrate metabolic process (GO:0045913)', 'negative regulation of macromolecule biosynthetic process (GO:0010558)', 'regulation of SMAD protein import into nucleus (GO:0060390)'}"
